"state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
9,2011,10.1406945681211,0.044437904649794,0.0490253987005316,0.0280593506684296,0.140252866803881,55.0217068093964,0.617074242202372,0.440677966101695,0.406779661016949,0.0338983050847458,0.11864406779661,0.0290834312573443,0.287162162162162,0.683754406580494,0.0419965576592083,0.0440619621342513,0.0662650602409639,0.0693631669535284,0.0989672977624785,0.130636833046472,0.153184165232358,0.39552495697074,0.504631671812969,0.495368328187031,0.539015429831007,0.0753857457751653,0.0583394562821455,0.0192505510653931,0.30800881704629,0.911107846018219,0.747874924104432,0.141048292108363,0.642435538987263,0.402199163698312,0.350162614217129,0.247638222084559,27.1498575189717,0.220238973299897,0.344446083493141,0.277917096916949,0.118011506121847,0.0393863401681664,0.249651324965133
10,2011,10.9870596693027,0.0538897043405326,0.0575751208237025,0.0410729253981559,0.13126441602013,55.1025858414582,0.618589072639732,0.587301587301587,0.19047619047619,0,0.222222222222222,0.0142767163552383,0.354188536636574,0.631534747008188,0.0606060606060606,0.0701227147508139,0.0666165790132732,0.0643626346105685,0.0976709241172051,0.155271725519659,0.178061607813674,0.307287753568745,0.516414141414141,0.483585858585859,0.50461215932914,0.0628930817610063,0.0343815513626834,0.0205450733752621,0.377568134171908,0.920268569030634,0.723138747884941,0.176186476270475,0.564477933261572,0.346578366445916,0.354525386313466,0.298896247240618,27.8755364238411,0.162581185837,0.343599413366855,0.325162371674,0.123402472239682,0.0452545568824639,0.260989594393714
11,2011,9.79745942131263,0.0418871252204586,0.0448916408668731,0.0486034748185617,0.145086832270829,55.8747208575257,0.618201754385965,0.266666666666667,0.6,0,0.133333333333333,0.014974675181678,0.221316890552742,0.76370843426558,0.0776164246369554,0.0443164747120681,0.0638457686529795,0.0598397596394592,0.07085628442664,0.0931397095643465,0.121432148222334,0.468953430145218,0.318332963866105,0.681667036133895,0.522601984564498,0.0767364939360529,0.0315325248070562,0.0213891951488423,0.34773980154355,0.948954895489549,0.800045913682277,0.152722443559097,0.640602920395666,0.450549450549451,0.312042124542125,0.237408424908425,26.9642261904762,0.242370632463512,0.333259619637329,0.271340114993366,0.111455108359133,0.0415745245466608,0.258072063640618
12,2011,11.8434382194935,0.0755237940555465,0.0787844223562001,0.0552857374129836,0.125182186234818,57.9221732745962,0.602871199290265,0.709302325581395,0.133720930232558,0.0232558139534884,0.133720930232558,0.0322371618337923,0.373481289486473,0.594281548679734,0.0705871176135284,0.0794223826714801,0.0979479384381532,0.112863385901577,0.126828804864146,0.150769523085693,0.146209386281588,0.215371461143834,0.502762430939227,0.497237569060773,0.393597139839116,0.0766230600471277,0.0728853498009263,0.0225887706183473,0.434305679694483,0.849432739059968,0.718523002421308,0.168831168831169,0.519014461703267,0.361172472387426,0.364146134239592,0.274681393372982,27.5511537807986,0.177381434941224,0.295176327523308,0.298175922172679,0.152492906364005,0.0767734089987839,0.32724384432089
13,2011,11.8638118638119,0.0633256025007563,0.0681657044464702,0.0480265807490938,0.126398548533414,55.7577847651892,0.644277108433735,0.670886075949367,0.240506329113924,0,0.0886075949367089,0.0368686868686869,0.366666666666667,0.596464646464646,0.0638977635782748,0.0683942728671163,0.0915867944621938,0.10661460182227,0.129570465033724,0.137143533309667,0.144953259969234,0.25783930895752,0.538220741189539,0.461779258810462,0.455253311760542,0.0643138841136616,0.0636060268985742,0.0189098998887653,0.397916877338457,0.857775987107172,0.711916332136066,0.162795394869723,0.438113736915938,0.352827969635411,0.355180156099647,0.291991874264942,27.8638896610713,0.167371175523349,0.290861513687601,0.322463768115942,0.146940418679549,0.0723631239935588,0.290126095319513
15,2011,10.2364247957713,0.0478462557985421,0.0420982735723772,0.0344508975712777,0.15061988921129,56.076056711276,0.568235603470944,0.27913927077107,0.0107591153616258,0.236102809324567,0.473998804542738,0.0168531928900592,0.30493745885451,0.678209348255431,0.05501664977559,0.0473432749384682,0.0664543217026205,0.0799189228319097,0.118141016360214,0.155494425944694,0.17576371796728,0.301867670479224,0.522433359725521,0.477566640274479,0.517509215376514,0.0587151132174829,0.05028962611901,0.0222485518694049,0.351237493417588,0.92480905978404,0.792332701164996,0.136975455265241,0.506600660066007,0.455110031051708,0.337248548670177,0.207641420278115,26.44817199946,0.193620666930275,0.274548569922235,0.360089626993542,0.128641096612627,0.0431000395413207,0.242109577811176
16,2011,10.3608040201005,0.0626653439153439,0.0610687022900763,0.037757625721352,0.129378717779247,56.0870216306156,0.599802534145137,0.707865168539326,0.0561797752808989,0.0337078651685393,0.202247191011236,0.0179719703215169,0.354328112118714,0.627699917559769,0.057137504683402,0.071187710753091,0.0826152116897715,0.101723491944549,0.140876732858749,0.176845260397152,0.166729112026976,0.202884975646309,0.610275896249794,0.389724103750206,0.470568783068783,0.0563822751322751,0.0940806878306878,0.0201719576719577,0.358796296296296,0.857873885770882,0.775414937759336,0.141182298546896,0.448788254024412,0.351977696462798,0.374455480048789,0.273566823488413,27.6409287332288,0.186507936507937,0.314153439153439,0.314318783068783,0.126818783068783,0.0582010582010582,0.314727049324206
17,2011,9.41054232133806,0.053653177073796,0.0580586080586081,0.0398464631694389,0.122851919561243,55.47718526663,0.598721461187215,0.482758620689655,0.206896551724138,0.0862068965517241,0.224137931034483,0.0248583439956132,0.340157192469384,0.634984463535003,0.0460526315789474,0.050890092879257,0.0760448916408669,0.0963622291021672,0.108359133126935,0.146478328173375,0.17530959752322,0.300503095975232,0.532125205930807,0.467874794069193,0.488657153311379,0.0585437248444932,0.0810464690815953,0.0332967435053055,0.338455909257227,0.901261656609984,0.730536659108088,0.162433765759181,0.569596017614398,0.339495798319328,0.37703081232493,0.283473389355742,27.7664687208217,0.165722638406724,0.329983555636762,0.320482367988306,0.134661063402156,0.0491503745660515,0.262285714285714
18,2011,11.0940416367552,0.0708111308466548,0.0695589817138759,0.0491261218705716,0.134538152610442,55.5915794481446,0.611889346674514,0.643564356435644,0.217821782178218,0.0297029702970297,0.108910891089109,0.0230333097094259,0.451807228915663,0.525159461374911,0.0683975432719151,0.0724455611390285,0.101200446677834,0.109575656058068,0.126744835287549,0.160106085985483,0.149776661083194,0.211753210496929,0.511476573592049,0.488523426407951,0.458989229494615,0.0693573203929459,0.073499822464197,0.0262752988519351,0.371878328796307,0.859033439678601,0.683408295852074,0.206774040738986,0.469178521081635,0.322813121272366,0.355989065606362,0.321197813121272,28.375319333996,0.142231688557567,0.306709265175719,0.329901786770796,0.152526328245178,0.0686309312507396,0.286239695624604
19,2011,9.87669094693028,0.0526387563071049,0.0525882191404641,0.0364355895196507,0.104229195088677,55.6443894389439,0.590834919771553,0.701754385964912,0.175438596491228,0,0.12280701754386,0.0250783699059561,0.391031756848848,0.583889873245196,0.0403910883154352,0.0565795800609072,0.076614842122135,0.0942458727360154,0.121173264946305,0.165090559384517,0.170059304375701,0.275845488058984,0.57642398579429,0.42357601420571,0.538346069868996,0.03507096069869,0.0564956331877729,0.0298853711790393,0.340201965065502,0.919918144611187,0.729533826037521,0.161321140985396,0.563382310573322,0.344012757320963,0.364163525659611,0.291823717019426,27.7924717309365,0.175773266112549,0.354407957487396,0.318026979152473,0.114320752146069,0.0374710451015125,0.246457707170459
20,2011,10.7589921807124,0.059895328552045,0.0649800136492152,0.040205138129566,0.118800852382797,55.7631003836628,0.607715334105832,0.735593220338983,0.0915254237288136,0.0338983050847458,0.138983050847458,0.0206973257894482,0.330383480825959,0.648919193384593,0.039035655945474,0.054638652622092,0.0707486058694305,0.107587450008449,0.132653636005182,0.164929871007717,0.172252577029234,0.25815355151242,0.571331719128329,0.428668280871671,0.518282066163668,0.0496227510156703,0.0587637840975044,0.0218610949893596,0.351470303733798,0.892948748971592,0.716850828729282,0.172050834303454,0.466703329667033,0.344054233141343,0.354860084611856,0.301085682246802,27.9985417197615,0.161980351352659,0.352562551420413,0.310555098485215,0.124425301263127,0.0504766974785849,0.283207771609833
21,2011,13.3218171926007,0.0843951985226223,0.0828203693340795,0.056205657421911,0.157249516084432,56.1313834726091,0.656324582338902,0.668085106382979,0.140425531914894,0.0170212765957447,0.174468085106383,0.0587310395856456,0.447743248242693,0.493525712171661,0.110918774966711,0.104793608521971,0.0805592543275633,0.0844207723035952,0.118375499334221,0.146737683089214,0.158588548601864,0.19560585885486,0.530270819853961,0.469729180146039,0.401244890375325,0.0574136008918618,0.0917874396135266,0.0193236714975845,0.430230397621702,0.871731123388582,0.67495295632366,0.233490348203565,0.329004329004329,0.320249159580779,0.355447894008305,0.324302946410916,28.3902728890647,0.117798875472394,0.273757950041478,0.312655544289796,0.185823578209973,0.109964051986358,0.348569713942789
22,2011,12.6298932384342,0.0728774667278568,0.0775559253096691,0.0570275969560832,0.108400586940572,56.0460574797347,0.677741167856489,0.504672897196262,0.299065420560748,0.00934579439252336,0.186915887850467,0.043175359794665,0.452103767531396,0.504720872673939,0.0805450919565699,0.0929536893419012,0.10259251052515,0.112231331708398,0.116995346775981,0.136826944382894,0.126634167959229,0.231220917349878,0.508937574479787,0.491062425520213,0.433742668621701,0.0535190615835777,0.0800953079178886,0.0206195014662757,0.412023460410557,0.843881856540084,0.641496983408748,0.199504450766266,0.419928481685513,0.307670126874279,0.348808150711265,0.343521722414456,28.7130651672434,0.143303038648673,0.273019370237767,0.309005783530708,0.18443036812632,0.0902414394565317,0.315549215406562
23,2011,10.5087361016565,0.065598663730924,0.0673113530800274,0.036214864762482,0.150549034456645,56.7238073499201,0.610435701880239,0.801526717557252,0.0152671755725191,0.0229007633587786,0.16030534351145,0.016572077185017,0.366250472947408,0.617177449867575,0.0561540419034693,0.079311222325897,0.0907625752820426,0.101874628891339,0.123844261599796,0.157434896937823,0.167613877343286,0.223004495716346,0.538875824926041,0.461124175073959,0.500758150113722,0.0579984836997726,0.05724033358605,0.0179681576952237,0.366034874905231,0.910143830431491,0.762872099382764,0.168540179249582,0.576058463738184,0.353476231906984,0.373961876136993,0.272561891956023,27.6670347227715,0.18718201837649,0.354392892398815,0.287037740147316,0.121573392057104,0.0498139570202749,0.312519759721783
