"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm","full"
"11",13,2001,10.4079422382671,NA,NA,NA,0.108243130724396,44.3819706498952,0.602745424292845,0.518518518518518,0.407407407407407,0,0.0740740740740741,0.0300125052105044,0.332638599416423,0.637348895373072,0.0517241379310345,0.0411877394636015,0.0689655172413793,0.0814176245210728,0.154693486590038,0.194444444444444,0.181513409961686,0.226053639846743,0.502502085070892,0.497497914929108,0.668056713928274,0.0596330275229358,0.0642201834862385,0.0300250208507089,0.178065054211843,0.892038349312213,0.735723218007503,0.227482195224131,0.433508311461067,0.353455818022747,0.213035870516185,264985.918197725,0.244055068836045,0.338756779307468,0.280350438047559,0.0997079682937005,0.0371297455152274,0.144117647058824,"georgia"
"12",15,2001,10.5910326086957,NA,NA,NA,0.120658949243099,47.5642809064393,0.569555555555556,0.212620027434842,0.0137174211248285,0.212620027434842,0.561042524005487,0.0265328874024526,0.35340022296544,0.620066889632107,0.0648432698217578,0.0737553779963122,0.069760295021512,0.0848186846957591,0.146896127842655,0.212354025814382,0.178549477566073,0.169022741241549,0.51271186440678,0.48728813559322,0.664220591505448,0.034467422726262,0.0547031354236157,0.0266844563042028,0.219924394040471,0.92035595105673,0.809333333333333,0.207740213523132,0.505110152168976,0.329093799682035,0.165796048148989,256365.637746991,0.233881725211205,0.3172521120498,0.322143174744331,0.103156958648288,0.0235660293463762,0.106036979282691,"hawaii"
"13",16,2001,9.53217503217503,NA,NA,NA,0.121443939756156,46.6964586846543,0.577161968466316,0.765625,0,0.046875,0.171875,0.0232224084271008,0.388077567632272,0.588700023940627,0.0675317796610169,0.0728283898305085,0.0971927966101695,0.112023305084746,0.170021186440678,0.20603813559322,0.156779661016949,0.117584745762712,0.595061136418125,0.404938863581875,0.628858578607322,0.0366116295764537,0.0875807609475951,0.0354151710935631,0.211533859775066,0.859127934834691,0.784707287933094,0.196360153256705,0.418236623963828,0.376538558151218,0.205224817884954,265894.376287365,0.241676646706587,0.336766467065868,0.282395209580838,0.101077844311377,0.0380838323353293,0.200623950083993,"idaho"
"14",17,2001,8.50839552238806,NA,NA,NA,0.115449915110357,45.9921635434412,0.585001696640651,0.432098765432099,0.209876543209877,0.0617283950617284,0.283950617283951,0.0288722826086957,0.312160326086957,0.658967391304348,0.0399391403575504,0.0471662228984405,0.0703689615823507,0.0890072270825409,0.136553822746291,0.179916317991632,0.190947128185622,0.246101179155572,0.499490316004077,0.500509683995923,0.665874363327674,0.0444821731748727,0.0696095076400679,0.032937181663837,0.187096774193548,0.918707482993197,0.739307535641548,0.224413464807888,0.429340028694405,0.364060258249641,0.206599713055954,265396.395624103,0.235154394299287,0.338310145911096,0.294197488971836,0.0973871733966746,0.0349507974211062,0.159466327827192,"illinois"
"15",18,2001,9.87633262260128,NA,NA,NA,0.127265065318163,45.7532908704883,0.603789473684211,0.628571428571429,0.2,0,0.142857142857143,0.0240202275600506,0.407079646017699,0.56890012642225,0.0535037878787879,0.0553977272727273,0.0757575757575758,0.107007575757576,0.150568181818182,0.18844696969697,0.188920454545455,0.180397727272727,0.519831223628692,0.480168776371308,0.640387858347386,0.040893760539629,0.0754637436762226,0.0370994940978078,0.206155143338954,0.871253693541579,0.745469869363675,0.270042194092827,0.408952629291612,0.350282485875706,0.240764884832681,269293.327683616,0.208016877637131,0.342616033755274,0.312236286919831,0.0957805907172996,0.0413502109704641,0.189932318104907,"indiana"
"16",19,2001,8.63843648208469,0.0349170005724098,0.0400916380297824,0.0217391304347826,0.107725788900979,47.5585486531061,0.580347448425624,0.6,0.1,0.15,0.15,0.0190631808278867,0.377450980392157,0.603485838779956,0.0383663366336634,0.0556930693069307,0.0748762376237624,0.0965346534653465,0.157178217821782,0.201732673267327,0.189356435643564,0.186262376237624,0.566684812193794,0.433315187806206,0.650681198910082,0.0163487738419619,0.0479564032697548,0.0550408719346049,0.229972752043597,0.936784741144414,0.749183895538629,0.219738276990185,0.427752293577982,0.347477064220183,0.224770642201835,266201.241972477,0.218715995647443,0.361262241566921,0.300870511425462,0.08759521218716,0.0315560391730141,0.153761061946903,"iowa"
"17",20,2001,9.87893700787402,NA,NA,NA,0.117533718689788,45.6149611398964,0.583386786401539,0.386363636363636,0.159090909090909,0.0227272727272727,0.431818181818182,0.0180122225796076,0.316822129302026,0.665165648118366,0.0296212973378328,0.0427446569178853,0.061867266591676,0.0914885639295088,0.145481814773153,0.21259842519685,0.203224596925384,0.212973378327709,0.537342386032978,0.462657613967022,0.695247270391779,0.0202312138728324,0.0626204238921002,0.035645472061657,0.186255619781631,0.905878573723097,0.742939666238768,0.229360745261805,0.447243022464261,0.336283185840708,0.216473791695031,265293.61470388,0.243894601542416,0.372107969151671,0.266388174807198,0.0890102827763496,0.028598971722365,0.156862745098039,"kansas"
"18",21,2001,18.0922107674685,NA,NA,NA,0.126855367621678,48.4797507788162,0.612919896640827,0.390243902439024,0.51219512195122,0.024390243902439,0.0731707317073171,0.0995162404975812,0.48116793365584,0.419315825846579,0.105123247945868,0.0903818269695505,0.115514741420976,0.11527307878202,0.154664088931851,0.168197196713388,0.13895601739971,0.111889801836636,0.538009675190048,0.461990324809952,0.508474576271186,0.0326876513317191,0.102905569007264,0.025596679349706,0.330335524040125,0.850483425414365,0.63075331839338,0.303355240401245,0.382480957562568,0.371055495103373,0.246463547334059,271957.630032644,0.161741835147745,0.281838603767064,0.292033869016762,0.158285813029203,0.106099879039226,0.264397905759162,"kentucky"
"19",22,2001,11.4701086956522,NA,NA,NA,0.0942703232125367,45.4308761479275,0.618639921722113,0.105263157894737,0.105263157894737,0,0.0263157894736842,0.0506765067650677,0.445018450184502,0.504305043050431,0.0907776814108124,0.0696733159872796,0.107256432494941,0.115640358485111,0.167100318010986,0.171147730557965,0.144550448106389,0.133853714946516,0.472208558780128,0.527791441219872,0.599410174490047,0.0383386581469649,0.0813467682477267,0.0439911526173507,0.236913246497911,0.793561071516343,0.651225490196078,0.240344403444034,0.414115204981837,0.35729112610275,0.228593668915413,267701.828749351,0.263649778652238,0.319970486965076,0.262911952779144,0.0944417117560256,0.059026069847516,0.16554642768235,"louisiana"
"20",23,2001,10.75,NA,NA,NA,0.123931623931624,48.81330472103,0.575021312872975,0.909090909090909,0.0909090909090909,0,0,0.0282171868319795,0.421120136810603,0.550662676357418,0.0670640834575261,0.0625931445603577,0.0943864878291108,0.0993541977148535,0.169398907103825,0.187779433681073,0.167908594138102,0.151515151515152,0.546387345019239,0.453612654980761,0.627668659265585,0.0409906063193851,0.049530315969257,0.0217762596071734,0.260034158838599,0.882378100940975,0.750853242320819,0.226689478186484,0.411210762331839,0.385650224215247,0.203139013452915,265733.786098655,0.221318493150685,0.356164383561644,0.273116438356164,0.10402397260274,0.0453767123287671,0.20978120978121,"maine"
"21",24,2001,9.77793394237526,NA,NA,NA,0.112999540652274,46.9362298528381,0.592847317744154,0.380952380952381,0.285714285714286,0.0952380952380952,0.238095238095238,0.0243734191768223,0.337778799724074,0.637847781099103,0.0283346698743651,0.0307404437316226,0.0558674151296445,0.0775193798449612,0.130179096498263,0.175621491579792,0.211708099438653,0.2900294039027,0.541225241824044,0.458774758175956,0.6849598163031,0.0293915040183697,0.0583237657864524,0.0277841561423651,0.199540757749713,0.918006430868167,0.755560651226783,0.199769585253456,0.437545126353791,0.355234657039711,0.207220216606498,264182.974969916,0.248735632183908,0.360229885057471,0.261609195402299,0.0972413793103448,0.032183908045977,0.154591601292109,"maryland"
"22",25,2001,10.193410214168,NA,NA,NA,0.133030197038592,46.3031952662722,0.587708066581306,0.604651162790698,0.162790697674419,0.0465116279069767,0.186046511627907,0.036214953271028,0.318341121495327,0.645443925233645,0.0457346296042722,0.0431329590579214,0.0675065041763659,0.0862659181158428,0.128851157058743,0.167328495138984,0.181021498014515,0.280158838833356,0.482859482859483,0.517140517140517,0.655099894847529,0.0459165790396074,0.0618062857810492,0.0347003154574132,0.202476924874401,0.924314868804665,0.750494818954477,0.206243423360224,0.457856787667827,0.368597712580806,0.173545499751367,260677.392590751,0.274587767512572,0.335516313881417,0.258800140334464,0.097532452344755,0.0335633259267922,0.179656227925595,"massachusetts"
"23",26,2001,9.90961538461539,NA,NA,NA,0.125286478227655,46.6954510408635,0.605263157894737,0.536231884057971,0.27536231884058,0.0144927536231884,0.173913043478261,0.025611620795107,0.357798165137615,0.616590214067278,0.047085201793722,0.0443946188340807,0.0663677130044843,0.0941704035874439,0.152466367713004,0.186547085201794,0.181165919282511,0.22780269058296,0.511467889908257,0.488532110091743,0.628200229270157,0.042414978983569,0.084829957967138,0.0320978219335117,0.212457011845625,0.917048929663609,0.762504772814051,0.240825688073394,0.399841332804443,0.349464498214994,0.250694168980563,270958.15589052,0.191367456073338,0.338044308632544,0.317035905271199,0.118029029793736,0.0355233002291826,0.196551724137931,"michigan"
"24",27,2001,7.48934108527132,0.0311405216037369,0.0434272300469484,0.0178988326848249,0.109013867488444,46.7793156478278,0.572087658592849,0.625,0.1875,0,0.1875,0.0173076923076923,0.267307692307692,0.715384615384615,0.0270506108202443,0.0383944153577661,0.0431937172774869,0.0676265270506108,0.121291448516579,0.173211169284468,0.203315881326353,0.325916230366492,0.546471268800617,0.453528731199383,0.699115044247788,0.0300115429011158,0.0569449788380146,0.0165448249326664,0.197383609080416,0.956889915319477,0.834678969627067,0.210485736314572,0.427141713370697,0.381505204163331,0.191353082465973,262559.805844676,0.23432089265102,0.411312043093498,0.253559061177376,0.0738745671412082,0.0269334359368988,0.174971031286211,"minnesota"
"25",28,2001,11.5622317596567,0.0431454418928323,0.0457102672292546,0.0229805013927577,0.0906017579445571,46.234894772573,0.624156545209177,0.454545454545455,0.272727272727273,0,0.272727272727273,0.0386178861788618,0.402439024390244,0.558943089430894,0.0896114195083267,0.0856463124504362,0.10071371927042,0.107057890563045,0.176843774781919,0.164155432196669,0.14274385408406,0.133227597145123,0.522267206477733,0.477732793522267,0.595802301963439,0.0622884224779959,0.0778605280974949,0.026404874746107,0.237643872714963,0.846049966239028,0.655638082376772,0.23864406779661,0.381392045454545,0.362926136363636,0.255681818181818,273589.255681818,0.190540540540541,0.304054054054054,0.291216216216216,0.140540540540541,0.0736486486486486,0.195890410958904,"mississippi"
"26",29,2001,9.84498094027954,0.0364995602462621,0.0374449339207048,0.0272767267927849,0.116615519508987,46.4710561201944,0.602367382726874,0.5,0.333333333333333,0.0666666666666667,0.1,0.0324846356453029,0.387620719929763,0.579894644424934,0.0640640640640641,0.0595595595595596,0.0925925925925926,0.111611611611612,0.162662662662663,0.204204204204204,0.164164164164164,0.141141141141141,0.52610794207986,0.47389205792014,0.625438596491228,0.0390350877192982,0.0592105263157895,0.0385964912280702,0.237719298245614,0.905618964003512,0.726874177992109,0.256263736263736,0.433668801463861,0.335773101555352,0.230558096980787,267010.301463861,0.212747252747253,0.343296703296703,0.288351648351648,0.111208791208791,0.0443956043956044,0.194383501535761,"missouri"
"27",30,2001,11.1570512820513,0.046420141620771,0.043614931237721,0.0267085624509034,0.112156862745098,48.9305610043154,0.580721003134796,0.595744680851064,0,0,0.404255319148936,0.0306242638398115,0.409893992932862,0.559481743227326,0.0598591549295775,0.0734406438631791,0.131287726358149,0.144366197183099,0.188631790744467,0.179577464788732,0.129778672032193,0.0930583501006036,0.535321821036107,0.464678178963893,0.616018845700825,0.033372595210051,0.0620337652139772,0.0376914016489988,0.250883392226148,0.839481946624804,0.736965895727166,0.242733699921445,0.40974212034384,0.376586164551781,0.21367171510438,266579.478100696,0.197802197802198,0.342621664050235,0.288854003139717,0.124803767660911,0.0459183673469388,0.212406753042795,"montana"
"28",31,2001,11.0046367851623,NA,NA,NA,0.0822355289421158,47.1604342581423,0.623853211009174,0.333333333333333,0.476190476190476,0.0476190476190476,0.142857142857143,0.026832198638366,0.398077693231878,0.575090108129756,0.0496070726915521,0.0505893909626719,0.0785854616895874,0.121316306483301,0.180746561886051,0.208742632612967,0.153241650294695,0.157170923379175,0.553821528611445,0.446178471388555,0.620455453455853,0.0195765081901718,0.0687175389532561,0.0415501398322014,0.249700359568518,0.885291766586731,0.716566866267465,0.209348781462245,0.437847073900043,0.358821016659547,0.20333190944041,263736.509611277,0.239121756487026,0.351696606786427,0.270259481037924,0.0994011976047904,0.0395209580838323,0.158023683135974,"nebraska"
"29",32,2001,9.35782747603834,NA,NA,NA,0.128312999579302,46.8858466722831,0.4932716568545,0.738461538461539,0.0512820512820513,0.0256410256410256,0.184615384615385,0.0134964150147617,0.359763812737242,0.626739772247997,0.0323655402189434,0.0414088529271775,0.0666349357448834,0.0913850547358401,0.136601618277011,0.213231794383627,0.208948119942884,0.209424083769634,0.50147741663149,0.49852258336851,0.659493670886076,0.0434599156118143,0.0544303797468354,0.0286919831223629,0.213924050632911,0.859493670886076,0.798400673400673,0.265065318162663,0.43684668989547,0.382839721254355,0.180313588850174,262125.089721254,0.221894736842105,0.340631578947368,0.300210526315789,0.0972631578947368,0.04,0.19838572642311,"nevada"
"30",33,2001,9.33558558558559,NA,NA,NA,0.119325229471595,47.2302862882973,0.574826560951437,0.8,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0216095380029806,0.349726775956284,0.628663686040735,0.0327210103329506,0.034443168771527,0.0548220436280138,0.0838117106773823,0.138920780711825,0.182261768082664,0.215843857634902,0.257175660160735,0.573061630218688,0.426938369781312,0.690647482014389,0.0364673778218804,0.053336641032002,0.0176134954105681,0.201935003721161,0.897837434750186,0.798265179677819,0.236698160119344,0.438172748752954,0.366762929902862,0.195064321344185,263126.86610659,0.280109262478272,0.366277626024336,0.251055376210579,0.0752421157188974,0.0273156195679166,0.163051608077786,"new hampshire"
"31",34,2001,10.8131487889273,NA,NA,NA,0.101706256273001,46.7623409669211,0.593786537497912,0.575,0.175,0.025,0.225,0.0459731543624161,0.363422818791946,0.590604026845638,0.0427914417116577,0.0529894021195761,0.0695860827834433,0.0943811237752449,0.128974205158968,0.165566886622675,0.166166766646671,0.279544091181764,0.491935483870968,0.508064516129032,0.640604026845638,0.0530201342281879,0.0629194630872483,0.0263422818791946,0.217114093959732,0.879919611455368,0.716769770941314,0.217435037720034,0.42481336651262,0.3734447209385,0.20174191254888,265002.057234269,0.219758064516129,0.324260752688172,0.288474462365591,0.130208333333333,0.0372983870967742,0.149704641350211,"new jersey"
"32",35,2001,10.4121996303142,NA,NA,NA,0.109399559886828,47.7991790337859,0.586683417085427,0.62,0.02,0.02,0.34,0.0805791627321372,0.374567201762669,0.544853635505194,0.0669001751313485,0.0907180385288967,0.113485113835377,0.119789842381786,0.164973730297723,0.18353765323993,0.138353765323993,0.122241681260946,0.519546027742749,0.480453972257251,0.607479572595852,0.029855436832181,0.0854808296668762,0.0314267756128221,0.245757385292269,0.791312559017942,0.734841344643418,0.229508196721311,0.430573663624511,0.365384615384615,0.204041720990874,263773.992829205,0.215162000629129,0.29757785467128,0.306385655866625,0.121107266435986,0.0597672223969802,0.200569440050617,"new mexico"
"33",36,2001,9.91042204995693,0.0284471218206158,0.0395309882747069,0.0167056465085199,0.112913692407528,45.2435728411338,0.586061588330632,0.4,0.4,0,0.2,0.04,0.31219512195122,0.647804878048781,0.0452801227935533,0.0514198004604758,0.0767459708365311,0.0771297006907137,0.132386799693016,0.161933998465081,0.188411358403684,0.266692248656946,0.468424479166667,0.531575520833333,0.649139889646219,0.0490100616682895,0.0723790976955534,0.0363518338201883,0.19311911716975,0.858211382113821,0.73128038897893,0.228338762214984,0.46862210095498,0.347203274215553,0.184174624829468,261224.748635744,0.248616986657989,0.315977871786528,0.284738041002278,0.119752684672958,0.0309144158802473,0.157998037291462,"new york"
"34",37,2001,10.7452440033085,NA,NA,NA,0.0993288590604027,46.304406779661,0.605410239213056,0.392156862745098,0.470588235294118,0.0196078431372549,0.117647058823529,0.0330559928041376,0.361592084551383,0.605351922644479,0.0507166482910695,0.0545755237045204,0.077728776185226,0.112183020948181,0.169514884233738,0.195975744211687,0.174200661521499,0.165104740904079,0.521250281088374,0.478749718911626,0.617488789237668,0.031390134529148,0.0681614349775785,0.0345291479820628,0.248430493273543,0.889984315482859,0.751844399731724,0.240852974186308,0.445579847908745,0.342205323193916,0.212214828897338,264970.154942966,0.239344997756842,0.332211754149843,0.274562584118439,0.0991475998205473,0.0547330641543293,0.159106296547055,"north carolina"
"35",38,2001,8.14873417721519,0.0293288212069938,0.035048049745619,0.018018018018018,0.100611450806003,44.8620302860348,0.572222222222222,0.75,0,0,0.125,0.0350389321468298,0.32035595105673,0.644605116796441,0.0581534772182254,0.0599520383693046,0.0905275779376499,0.112709832134293,0.170863309352518,0.213429256594724,0.172661870503597,0.121702637889688,0.556420233463035,0.443579766536965,0.699331848552339,0.0183741648106904,0.0606904231625835,0.0606904231625835,0.160913140311804,0.897936419408812,0.792547274749722,0.235261401557286,0.42156862745098,0.377162629757785,0.201268742791234,265993.198385236,0.214245965498052,0.363939899833055,0.30550918196995,0.0901502504173623,0.0261547022815804,0.153931957612939,"north dakota"
"36",39,2001,9.21130551816958,0.0378297660527626,0.0419161676646707,0.0278468423669816,0.108872901678657,46.8241597661958,0.606903163950144,0.6,0.3,0,0.1,0.0196831493038886,0.386941910705713,0.593374939990398,0.0504434589800443,0.0504434589800443,0.0748337028824834,0.108647450110865,0.160753880266075,0.189024390243902,0.165188470066519,0.200665188470067,0.471888515136953,0.528111484863047,0.667467563671312,0.0360403652090341,0.0595867371456031,0.0211436809226333,0.215761653051418,0.899712092130518,0.747600767754319,0.254204709274387,0.422727272727273,0.354040404040404,0.223232323232323,267732.065151515,0.231138875540605,0.325324363286881,0.298414223930803,0.109082172032677,0.0360403652090341,0.170038535645472,"ohio"
"37",40,2001,11.8985239852399,0.0589550153674211,0.0627450980392157,0.0306919642857143,0.110432852386238,48.6554129464286,0.610972568578554,0.471428571428571,0.0857142857142857,0.0142857142857143,0.371428571428571,0.0433815350389321,0.450778642936596,0.505839822024472,0.0766335956209374,0.0797126240164215,0.109134450906603,0.133082449538146,0.183373246664386,0.190557646253849,0.130687649674991,0.0968183373246664,0.542476401998889,0.45752359800111,0.582383995554321,0.0230619616560156,0.0880800222283968,0.0238955265351487,0.282578494026118,0.819320712694877,0.664079822616408,0.279644543182449,0.395120499851235,0.383814340969949,0.221065159178816,268774.996727165,0.205555555555556,0.301666666666667,0.281111111111111,0.134166666666667,0.0775,0.221357063403782,"oklahoma"
