"fips","state","county","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
42777,42,NA,2011,12.7547169811321,0.0425531914893617,0.0354609929078014,0.0422535211267606,0.122302158273381,49.0869565217391,0.633802816901408,0.333333333333333,0.666666666666667,0,0,0.05,0.514285714285714,0.435714285714286,0.152380952380952,0.0857142857142857,0.0952380952380952,0.123809523809524,0.0761904761904762,0.114285714285714,0.152380952380952,0.2,0.3,0.7,0.404255319148936,0.127659574468085,0.0425531914893617,0.0851063829787234,0.340425531914894,0.879432624113475,0.669230769230769,0.179856115107914,0.464,0.373015873015873,0.349206349206349,0.277777777777778,27.8183333333333,0.170212765957447,0.312056737588652,0.283687943262411,0.148936170212766,0.0851063829787234,0.246031746031746
42888,42,888,2011,5.42857142857143,0.0416666666666667,0.0625,0.0416666666666667,0.127659574468085,35.0833333333333,0.416666666666667,NA,NA,NA,NA,0,0.166666666666667,0.833333333333333,0.0465116279069767,0.0465116279069767,0.0465116279069767,0.116279069767442,0.13953488372093,0.162790697674419,0.162790697674419,0.27906976744186,0.270833333333333,0.729166666666667,0.645833333333333,0.0625,0.0208333333333333,0.166666666666667,0.104166666666667,0.854166666666667,0.872340425531915,0.166666666666667,0.851063829787234,0.391304347826087,0.434782608695652,0.173913043478261,26.5669565217391,0.291666666666667,0.354166666666667,0.229166666666667,0.0625,0.0625,0.276595744680851
42999,42,NA,2011,12.280701754386,0.0197368421052632,0.0394736842105263,0.0326797385620915,0.111111111111111,44.463768115942,0.555555555555556,0.5,0.5,0,0,0.0469798657718121,0.369127516778524,0.583892617449664,0.0740740740740741,0.101851851851852,0.0648148148148148,0.111111111111111,0.101851851851852,0.138888888888889,0.175925925925926,0.231481481481481,0.452054794520548,0.547945205479452,0.537414965986395,0.0816326530612245,0.0340136054421769,0.0816326530612245,0.26530612244898,0.874172185430464,0.768,0.172185430463576,0.525423728813559,0.476923076923077,0.338461538461538,0.184615384615385,26.1936153846154,0.296052631578947,0.25,0.289473684210526,0.118421052631579,0.0460526315789474,0.203252032520325
44001,44,1,2011,11.989010989011,0.0318021201413428,0.0282685512367491,0.0176678445229682,0.15547703180212,56.9428571428571,0.583038869257951,0.5,0,0,0.5,0.0176678445229682,0.275618374558304,0.706713780918728,0.05,0.0291666666666667,0.05,0.0833333333333333,0.0875,0.154166666666667,0.166666666666667,0.379166666666667,0.522968197879859,0.477031802120141,0.521276595744681,0.0815602836879433,0.0460992907801418,0.0141843971631206,0.336879432624113,0.921985815602837,0.768382352941177,0.141843971631206,0.723880597014925,0.400735294117647,0.419117647058824,0.180147058823529,26.7379779411765,0.190647482014388,0.392086330935252,0.241007194244604,0.12589928057554,0.0503597122302158,0.299242424242424
44003,44,3,2011,11.2603174603175,0.0649895178197065,0.0586387434554974,0.0356020942408377,0.147335423197492,56.8090717299578,0.605208333333333,0.555555555555556,0.222222222222222,0,0.222222222222222,0.0146443514644351,0.360878661087866,0.624476987447699,0.0413625304136253,0.0547445255474453,0.0656934306569343,0.0888077858880779,0.103406326034063,0.139902676399027,0.200729927007299,0.305352798053528,0.528675703858186,0.471324296141814,0.490566037735849,0.0838574423480084,0.0555555555555556,0.0125786163522013,0.357442348008386,0.920668058455115,0.729817007534984,0.175732217573222,0.63956043956044,0.351851851851852,0.386710239651416,0.261437908496732,27.6884422657952,0.182105263157895,0.354736842105263,0.307368421052632,0.106315789473684,0.0494736842105263,0.249727371864776
44005,44,5,2011,8.9568345323741,0.0522875816993464,0.0590809628008753,0.0347826086956522,0.132321041214751,56.2156862745098,0.581344902386117,0.75,0.125,0,0.125,0.0152505446623094,0.257080610021787,0.727668845315904,0.0477386934673367,0.0552763819095477,0.0477386934673367,0.0653266331658292,0.0829145728643216,0.150753768844221,0.173366834170854,0.376884422110553,0.506550218340611,0.493449781659389,0.529411764705882,0.0740740740740741,0.0479302832244009,0.0261437908496732,0.32244008714597,0.902173913043478,0.788888888888889,0.159041394335512,0.680995475113122,0.440639269406393,0.363013698630137,0.19634703196347,26.3162785388128,0.210065645514223,0.385120350109409,0.266958424507659,0.0940919037199125,0.0437636761487965,0.224215246636771
44007,44,7,2011,11.419941775837,0.0580967402733964,0.0593799264319496,0.0342573221757322,0.163094615786722,55.0522703273495,0.627706757109314,0.5,0.181818181818182,0.0909090909090909,0.227272727272727,0.0392464678178964,0.371533228676086,0.589220303506018,0.0644266337854501,0.0782983970406905,0.0856966707768187,0.0912453760789149,0.117447595561036,0.134710234278668,0.145191122071517,0.282983970406905,0.476689366160293,0.523310633839707,0.499215481171548,0.0899581589958159,0.0441945606694561,0.0183054393305439,0.348326359832636,0.888423258250393,0.716190476190476,0.167718191377497,0.584816462736374,0.361508810572687,0.381057268722467,0.257433920704846,27.5746007709251,0.169169960474308,0.307246376811594,0.32068511198946,0.149407114624506,0.0534914361001318,0.275890637945319
44009,44,9,2011,10.7732793522267,0.0544041450777202,0.0652741514360313,0.0297927461139896,0.142857142857143,56.5399737876802,0.602331606217617,1,0,0,0,0.0077720207253886,0.270725388601036,0.721502590673575,0.0267459138187221,0.0430906389301634,0.0475482912332838,0.0832095096582467,0.0861812778603269,0.12332838038633,0.166419019316493,0.423476968796434,0.586251621271077,0.413748378728923,0.511024643320363,0.0739299610894942,0.0440985732814527,0.0272373540856031,0.343709468223087,0.929961089494163,0.774365821094793,0.135416666666667,0.691678035470669,0.389715832205683,0.377537212449256,0.232746955345061,27.1298782138024,0.213541666666667,0.358072916666667,0.287760416666667,0.10546875,0.03515625,0.274562584118439
44013,44,13,2011,NA,1,1,0,0,52,0,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,28.92,0,0,1,0,0,0
44088,44,88,2011,NA,0,0,0,1,21,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,1,1,0,1,1,0,0,16.95,0,0,1,0,0,0
