"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
"11",13,2012,11.4816870144284,0.062067830095489,0.0670520231213873,0.0478382377116554,0.124651010018065,55.0523438794103,0.626229508196721,0.555555555555556,0.277777777777778,0.0277777777777778,0.138888888888889,0.0325243519894337,0.390292223873205,0.577183424137362,0.0725110301170152,0.0734701707270286,0.101860732783426,0.107040092077499,0.122578169959716,0.129867638595818,0.144830232112028,0.24784193362747,0.512363996043521,0.487636003956479,0.46396694214876,0.0733884297520661,0.0621487603305785,0.0267768595041322,0.373719008264463,0.846217105263158,0.723854867837794,0.164574143196471,0.42837653478854,0.340596130381733,0.363778978560223,0.295624891058044,27.8503503573296,0.163245196255543,0.287239283954672,0.338479224831664,0.145672524224011,0.0653637707341107,0.249238578680203
"12",15,2012,10.1315547378105,0.0399416135881104,0.034134679240271,0.0328042328042328,0.151098174120138,51.8017527552782,0.536270113426537,0.274288781535158,0.0177133655394525,0.223295759527644,0.484702093397746,0.0100356529776839,0.306219463884854,0.683744883137462,0.0568264607314585,0.0460440040798485,0.070960221477488,0.0817426781290981,0.111758706105202,0.154742823837972,0.164359609500219,0.313565496138715,0.486432825943084,0.513567174056916,0.575749570730419,0.058248580108308,0.0369832254655924,0.0405494650640602,0.288469158631621,0.907336417713153,0.821108179419525,0.141027351567712,0.522712046094064,0.449328449328449,0.332790666123999,0.217880884547551,26.5167575634242,0.201822744683661,0.296526218465196,0.350548144234579,0.109760929863955,0.0413419627526086,0.186469962785752
"13",16,2012,10.5747542679772,0.0601260432634986,0.0565068493150685,0.0437595777285885,0.121951219512195,57.5784784098698,0.600746268656716,0.887096774193548,0.0161290322580645,0.0161290322580645,0.0806451612903226,0.0202380952380952,0.35,0.629761904761905,0.0586744639376218,0.0692007797270955,0.0851851851851852,0.110526315789474,0.137816764132554,0.170955165692008,0.165692007797271,0.201949317738791,0.604528430371127,0.395471569628873,0.444255319148936,0.0457872340425532,0.0942978723404255,0.0178723404255319,0.397787234042553,0.874680742380385,0.772287315333673,0.136865723161892,0.433442963475853,0.356041591968447,0.367694514162782,0.27626389386877,27.6467873789889,0.177282016348774,0.316927792915531,0.306539509536785,0.134196185286104,0.0650544959128065,0.295813315030885
"14",17,2012,8.86375455018201,0.0607367475292004,0.0635120546959338,0.0418087206172618,0.124349542436749,56.329674284686,0.601899982075641,0.604938271604938,0.148148148148148,0.037037037037037,0.209876543209877,0.0213338114019362,0.333094299031911,0.645571889566153,0.0455243949289282,0.0499423741836343,0.0768344218209758,0.0954667691125624,0.10391855551287,0.142143680368805,0.169996158278909,0.316173645793315,0.531440891124686,0.468559108875314,0.489678693232813,0.0490037695207324,0.0757494166217914,0.0306946688206785,0.354873451803985,0.903538710256871,0.752778773754034,0.143942133815552,0.553435114503817,0.352531181217902,0.360968451944241,0.286500366837858,27.8449596478357,0.170731707317073,0.332675753228121,0.315638450502152,0.136298421807747,0.0446556671449067,0.227297346091352
"15",18,2012,11.3355198425713,0.0683671092476124,0.0701016473887136,0.048990016252612,0.130515559684162,54.6518440709617,0.607056101792944,0.5859375,0.2109375,0.0390625,0.1640625,0.0245797101449275,0.437797101449275,0.537623188405797,0.0707317073170732,0.0676151761517615,0.0944444444444444,0.114905149051491,0.122222222222222,0.155420054200542,0.159078590785908,0.215582655826558,0.505520046484602,0.494479953515398,0.481644981412639,0.0526254646840149,0.0709804832713755,0.0341542750929368,0.360594795539033,0.86846993266775,0.714649976819657,0.206908706379979,0.452785646836638,0.332765957446809,0.351367781155015,0.315866261398176,28.1937714285714,0.147936581953835,0.307764047563535,0.319305199347167,0.155164373979949,0.0698297971555141,0.248795959121344
"16",19,2012,9.77200205867216,0.0646515533165407,0.0604102275920202,0.0387304250559284,0.107862339115837,56.2061681453316,0.58972927714206,0.82,0.1,0.04,0.04,0.0244652593317489,0.387110303369216,0.588424437299035,0.0398773006134969,0.0516628995802389,0.0690991281885696,0.100742654181466,0.125605424604456,0.169195996125283,0.168388763319341,0.275427833387149,0.586405045550105,0.413594954449895,0.533901859359709,0.0325737452817,0.0582972179505103,0.0230672445127918,0.352159932895289,0.925417075564279,0.749301675977654,0.150819672131148,0.53479381443299,0.331511301521643,0.358694046387945,0.309794652090412,28.0613724331511,0.168765743073048,0.364399664147775,0.315141337811363,0.112230618527848,0.0394626364399664,0.217886641982341
"17",20,2012,10.6789772727273,0.0598537663662642,0.066211020931226,0.0414648653241567,0.111318830727396,55.9265257415615,0.605372426065588,0.655629139072848,0.0993377483443709,0.0132450331125828,0.231788079470199,0.0177404295051354,0.31729055258467,0.664969017910194,0.0389899380804954,0.0505030959752322,0.0773993808049536,0.0991679566563467,0.122871517027864,0.162925696594427,0.17047213622291,0.277670278637771,0.575690607734807,0.424309392265193,0.517057026476578,0.0422606924643585,0.0557535641547861,0.0241004752206382,0.360828241683639,0.895116772823779,0.761638259984737,0.157400290374925,0.468991582202371,0.346235985050721,0.356380138814736,0.297383876134544,27.9077086670226,0.167388535031847,0.358895966029724,0.302420382165605,0.124331210191083,0.046963906581741,0.247952917093142
"18",21,2012,12.9827674897119,0.085096843615495,0.0796388261851016,0.0558734131950653,0.160886664283161,55.1540812657318,0.643767263654994,0.69620253164557,0.143459915611814,0.0253164556962025,0.135021097046413,0.0505955046118026,0.427151428315573,0.522253067072625,0.0811838454424006,0.0864248278696948,0.102353303874216,0.105333470352482,0.128352687288048,0.154352070701881,0.14643921488028,0.195560579590998,0.546212460779919,0.453787539220081,0.43933542882802,0.0517287831163,0.083969465648855,0.0211046250561293,0.403861697350696,0.869157207972115,0.666815462905098,0.234747400386491,0.318160791932649,0.311920529801325,0.355345316934721,0.332734153263955,28.4952280037843,0.117983553807651,0.286378262424026,0.313192706471219,0.18251698248123,0.0999284948158742,0.303244134897361
"19",22,2012,12.4588888888889,0.0775442477876106,0.0787278994773713,0.0603181617322139,0.115138121546961,56.8746808746809,0.674680194089105,0.61038961038961,0.181818181818182,0,0.207792207792208,0.0412245800176835,0.457670203359859,0.501105216622458,0.0931578947368421,0.0976315789473684,0.115657894736842,0.108815789473684,0.119342105263158,0.126052631578947,0.125789473684211,0.213552631578947,0.486396814863968,0.513603185136032,0.430166979984518,0.0464447639057835,0.0757491982749088,0.0204578126727856,0.427181245162004,0.834661354581673,0.65691900242772,0.189618761809492,0.376938637896156,0.293669131238447,0.353165434380776,0.353165434380776,28.888648336414,0.133871324342251,0.26365244306876,0.310523988503206,0.191908025646695,0.100044218439089,0.288982674366948
"20",23,2012,10.5244630071599,0.0604834631334075,0.062544420753376,0.0352810351799434,0.140356203197733,55.5780916573519,0.579074690051406,0.833333333333333,0.025,0.0333333333333333,0.108333333333333,0.0168618739903069,0.354604200323102,0.628533925686591,0.0557247602932882,0.0759165256627186,0.0844895657078398,0.101522842639594,0.117879300620417,0.163677382966723,0.169430344049633,0.231359278059786,0.53717585089141,0.46282414910859,0.521321746160065,0.0510307194826192,0.0526475343573161,0.0217259498787389,0.353274050121261,0.897705448296775,0.78344270570419,0.163302752293578,0.577473426001635,0.354499579478553,0.369953742640875,0.275546677880572,27.6849915895711,0.191461312240138,0.368928100598317,0.273197444478248,0.118243585843221,0.0481695568400771,0.255039706780696
