"state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
13,2009,11.3198959687906,0.0582921424919039,0.0594501718213058,0.0413335601292737,0.108673469387755,55.0311377245509,0.6421302578019,0.555555555555556,0.277777777777778,0.0277777777777778,0.138888888888889,0.0354827703855339,0.380416240191061,0.584100989423405,0.054429876837505,0.0639650377433452,0.0806515693285658,0.10170838299563,0.113428684942392,0.145411203814064,0.164481525625745,0.275923718712753,0.585153583617747,0.414846416382253,0.505033270772906,0.0590342944889951,0.074219416481829,0.0145026445998976,0.347210373656373,0.86951343994556,0.711518858307849,0.162659846547315,0.398847966486298,0.343839031339031,0.373219373219373,0.282941595441595,27.7809063390313,0.179710144927536,0.294117647058824,0.316965046888321,0.14458653026428,0.0646206308610401,0.229213874847481
15,2009,9.67508055853921,0.0395786305492852,0.0341957936147677,0.0331732212548784,0.153638409602401,54.9325605900948,0.584019153074966,0.321996708721887,0.0148107515085025,0.263302249040044,0.399890290729567,0.0152763217013629,0.296690130298038,0.688033548000599,0.0412119237660857,0.0405603518488353,0.0612477602215344,0.0765597002769181,0.115816908291253,0.177553347450725,0.183906173643916,0.303143834500733,0.564975990396158,0.435024009603842,0.559550561797753,0.0558801498127341,0.049438202247191,0.0209737827715356,0.314157303370787,0.943478260869565,0.803381714798743,0.144853493613824,0.502419842710224,0.442770167427702,0.348858447488584,0.208371385083714,26.5004855403349,0.192180946674655,0.296285200718993,0.356351108448173,0.117884961054524,0.0372977831036549,0.190656183852434
16,2009,10.5532811559302,0.0561671953722709,0.058128633039565,0.0368577810871184,0.129739776951673,55.5789080029918,0.603339517625232,0.815384615384615,0,0.0153846153846154,0.169230769230769,0.027514407882506,0.373489496188883,0.598996095928611,0.0518079932332417,0.067244660604779,0.0902939310636498,0.105730598435187,0.14125607950941,0.172129414252485,0.172763797843096,0.198773525058152,0.633469843633656,0.366530156366344,0.483600447260529,0.0505031680954156,0.109951546775997,0.0143496086470369,0.341595229221021,0.865649423148493,0.753159851301115,0.147299813780261,0.413215361445783,0.3589594253543,0.380896913220734,0.260143661424966,27.4453135313531,0.197324414715719,0.313452248234857,0.296172426607209,0.136194723151245,0.0568561872909699,0.260351673284175
17,2009,9.34687953555878,0.0547921676399863,0.0569805474264073,0.0354755784061697,0.124486301369863,55.0554982817869,0.619846022241232,0.740740740740741,0.0925925925925926,0.0185185185185185,0.148148148148148,0.0174657534246575,0.329965753424658,0.652568493150685,0.038026340196624,0.0465590799480616,0.0608421443145984,0.0819884993507698,0.106288258208125,0.159154145798553,0.168799851604526,0.338341680578742,0.577259475218659,0.422740524781341,0.525107112253642,0.0622107969151671,0.0850042844901457,0.0245072836332476,0.303170522707798,0.915225209796198,0.746919917864476,0.161384272742847,0.552967563837129,0.349344978165939,0.367860262008734,0.282794759825328,27.6988174672489,0.186997433704021,0.338922155688623,0.301283147989735,0.126432848588537,0.0463644140290847,0.204549371014992
18,2009,11.2613298048296,0.0681030749242096,0.0658741411277129,0.0428679408271245,0.128680832704131,55.2833695652174,0.623815676141258,0.645833333333333,0.239583333333333,0.0208333333333333,0.09375,0.0253451251078516,0.457830025884383,0.516824849007765,0.0635779932015611,0.068487976834949,0.0968148054891099,0.107893742918293,0.133702631247639,0.159511519576986,0.160896386755634,0.209114943975828,0.52857297180512,0.47142702819488,0.486276204884374,0.0744542900367409,0.0763993948562784,0.0206397233628701,0.342230386859736,0.876160656445692,0.678394129074034,0.210190393768931,0.430905900416758,0.316145774568431,0.360600248222949,0.32325397720862,28.3697619316259,0.141422865162474,0.306812047932635,0.336608010363813,0.150815070711433,0.0643420058296448,0.244485899264787
19,2009,9.63624595469256,0.0572665223905444,0.0542350184131235,0.0359580489429,0.101331114808652,56.3866039952996,0.610557768924303,0.892857142857143,0.0714285714285714,0.0357142857142857,0,0.0228143213988343,0.389841798501249,0.587343880099917,0.0362165286072048,0.0479676362935851,0.0633789250626084,0.0974764014640724,0.123290310152186,0.175496050857253,0.181275284145637,0.274898863417453,0.621396433927679,0.378603566072321,0.560159760359461,0.0297886503577966,0.0625728074554834,0.0156432018638709,0.331835579963388,0.925907425907426,0.72653264661904,0.146682188591385,0.52834314550042,0.32909604519774,0.384180790960452,0.286723163841808,27.8148834745763,0.184179850124896,0.343713572023314,0.328059950041632,0.104912572855953,0.0391340549542048,0.20669357551295
20,2009,10.1965107361963,0.0550541516245487,0.0587921752571825,0.0395420332873953,0.111022703161468,56.3329255319149,0.616804145516074,0.685185185185185,0.111111111111111,0.0148148148148148,0.188888888888889,0.020174741858618,0.340270055599682,0.6395552025417,0.0319577100979155,0.0445125247792395,0.0682405238181054,0.097194689733886,0.135279629963357,0.173304499309185,0.177449390280531,0.272061032017781,0.604399681950702,0.395600318049298,0.549257688229056,0.0424178154825027,0.0579533404029692,0.0137857900318134,0.336585365853659,0.913073418794364,0.737020375760783,0.160184644771051,0.451449853684491,0.340615690168818,0.358545735407702,0.30083857442348,27.966778108794,0.170968254809476,0.350892999099051,0.31814086597064,0.114208490116063,0.0457893900047697,0.240667871955759
21,2009,13.175366568915,0.0821361648969394,0.0866456361724501,0.0567567567567568,0.156418778562526,55.9695325542571,0.700891007045172,0.598802395209581,0.173652694610778,0,0.227544910179641,0.0627406097180314,0.461034231609614,0.476225158672355,0.0889279437609842,0.0875219683655536,0.123608670181605,0.10497949619215,0.127357937902753,0.148096074985354,0.14622144112478,0.173286467486819,0.571071800208117,0.428928199791883,0.395841995841996,0.0564449064449064,0.101247401247401,0.0152806652806653,0.431185031185031,0.869289867109635,0.627280265339967,0.240253664622102,0.269393810936838,0.311847826086957,0.347173913043478,0.340978260869565,28.5578260869565,0.118457871281998,0.25183956886724,0.319411337962483,0.194527930355477,0.115763291532801,0.312553011026293
22,2009,12.796881247501,0.0673967035448182,0.0835603996366939,0.0497237569060773,0.10731211916046,55.616342236306,0.665728439540644,0.554455445544555,0.257425742574257,0.0099009900990099,0.178217821782178,0.0420566016461833,0.405118953658812,0.552824444695005,0.0749245505839129,0.079254690985435,0.0956567379608975,0.106547697152605,0.116913790841097,0.137645978218082,0.145781393517911,0.24327516074006,0.534823343492493,0.465176656507507,0.466433487532438,0.0418594155477829,0.094324720749182,0.0182782353604874,0.379104140810109,0.856740306582507,0.67880496054115,0.191734417344173,0.4100442126743,0.319929660023447,0.338452520515826,0.341617819460727,28.5071992966002,0.146465215920622,0.283346487766377,0.30093584395084,0.184462735370391,0.0847897169917691,0.262061155152888
23,2009,10.7105465742879,0.0598258706467662,0.0652715495764823,0.0361131794489948,0.146223490016123,56.3415242609455,0.618782479584261,0.746666666666667,0.0666666666666667,0,0.186666666666667,0.0183372568454962,0.359311113864453,0.622351629290051,0.0556100294158846,0.0715786524723351,0.0790026614371761,0.0952514357753187,0.118784143437456,0.170331979268805,0.175094551057571,0.234346547135453,0.567051234338171,0.432948765661829,0.52246772591857,0.057845084409136,0.0602035749751738,0.01266137040715,0.34682224428997,0.91078297555528,0.760753687864138,0.154018412540433,0.549881383443626,0.351337448559671,0.376028806584362,0.272633744855967,27.5955362654321,0.197121945168093,0.348343877930778,0.286564942314849,0.119712194516809,0.0482570400694703,0.264797897634839
